date,Dubai,Brent,WTI
2016-01-04,32.54,37.22,36.76
2016-01-05,31.66,36.42,35.97
2016-01-06,30.76,34.23,33.97
2016-01-07,27.96,33.75,33.27
2016-01-08,29.11,33.55,33.16
2016-01-11,28.07,31.55,31.41
2016-01-12,26.44,30.86,30.44
2016-01-13,26.49,30.31,30.48
2016-01-14,26.04,31.03,31.2
2016-01-15,26.22,28.94,29.42
2016-01-18,24.65,28.55,
2016-01-19,24.72,28.76,28.46
2016-01-20,23.36,27.88,26.55
2016-01-21,22.83,29.25,29.53
2016-01-22,23.88,32.18,32.19
2016-01-25,26.1,30.5,30.34
2016-01-26,24.84,31.8,31.45
2016-01-27,26.11,33.1,32.3
2016-01-28,27.08,33.89,33.22
2016-01-29,28.37,34.74,33.62
2016-02-01,29.01,34.24,31.62
2016-02-02,28.08,32.72,29.88
2016-02-03,27.52,35.04,32.28
2016-02-04,29.51,34.46,31.72
2016-02-05,29.22,34.06,30.89
2016-02-08,,32.88,29.69
2016-02-09,,30.32,27.94
2016-02-10,26.2,30.84,27.45
2016-02-11,26.08,30.06,26.21
2016-02-12,26.86,33.36,29.44
2016-02-15,29.22,33.39,
2016-02-16,30.66,32.18,29.04
2016-02-17,28.31,34.5,30.66
2016-02-18,30.25,34.28,30.77
2016-02-19,30.07,33.01,29.64
2016-02-22,29.33,34.69,31.48
2016-02-23,29.69,33.27,31.87
2016-02-24,28.57,34.41,32.15
2016-02-25,29.46,35.29,33.07
2016-02-26,30.43,35.1,32.78
2016-02-29,29.99,35.97,33.75
2016-03-01,31.65,36.81,34.4
2016-03-02,31.95,36.93,34.66
2016-03-03,32.04,37.07,34.57
2016-03-04,32.17,38.72,35.92
2016-03-07,34.39,40.84,37.9
2016-03-08,35.56,39.65,36.5
2016-03-09,35.03,41.07,38.29
2016-03-10,36.25,40.05,37.84
2016-03-11,36.37,40.39,38.5
2016-03-14,35.69,39.53,37.18
2016-03-15,34.66,38.74,36.34
2016-03-16,34.8,40.33,38.46
2016-03-17,36.67,41.54,40.2
2016-03-18,37.42,41.2,39.44
2016-03-21,37.14,41.54,39.91
2016-03-22,37.43,41.79,41.45
2016-03-23,37.14,40.47,39.79
2016-03-24,36.04,40.44,39.46
2016-03-28,36.31,40.27,39.39
2016-03-29,36.17,39.14,38.28
2016-03-30,35.45,39.26,38.32
2016-03-31,35.05,39.6,38.34
2016-04-01,36.22,38.67,36.79
2016-04-04,34.84,37.69,35.7
2016-04-05,33.83,37.87,35.89
2016-04-06,34.69,39.84,37.75
2016-04-07,36.48,39.43,37.26
2016-04-08,36.71,41.94,39.72
2016-04-11,37.79,42.83,40.36
2016-04-12,38.67,44.69,42.17
2016-04-13,40.11,44.18,41.76
2016-04-14,39.66,43.84,41.5
2016-04-15,39.37,43.1,40.36
2016-04-18,37.73,42.91,39.78
2016-04-19,39.17,44.03,41.08
2016-04-20,39.03,45.8,42.63
2016-04-21,41.7,44.53,43.18
2016-04-22,41.01,45.11,43.73
2016-04-25,40.86,44.48,42.64
2016-04-26,40.83,45.74,44.04
2016-04-27,42.59,47.18,45.33
2016-04-28,43.22,48.14,46.03
2016-04-29,44.26,48.13,45.92
2016-05-02,,45.83,44.78
2016-05-03,43.03,44.97,43.65
2016-05-04,42.05,44.62,43.78
2016-05-05,42.45,45.01,44.32
2016-05-06,42.2,45.37,44.66
2016-05-09,42.84,43.63,43.44
2016-05-10,41.23,45.52,44.66
2016-05-11,42.18,47.6,46.23
2016-05-12,44.65,48.08,46.7
2016-05-13,44.39,47.83,46.21
2016-05-16,45.35,48.97,47.72
2016-05-17,45.68,49.28,48.31
2016-05-18,45.76,48.93,48.19
2016-05-19,44.75,48.81,48.16
2016-05-20,45.65,48.72,47.75
2016-05-23,44.87,48.35,48.08
2016-05-24,44.55,48.61,48.62
2016-05-25,45.27,49.74,49.56
2016-05-26,45.74,49.59,49.48
2016-05-27,45.31,49.32,49.33
2016-05-30,45.54,49.76,
2016-05-31,45.9,49.69,49.1
2016-06-01,45.44,49.72,49.01
2016-06-02,46.17,50.04,49.17
2016-06-03,46.28,49.64,48.62
2016-06-06,45.91,50.55,49.69
2016-06-07,46.82,51.44,50.36
2016-06-08,47.99,52.51,51.23
2016-06-09,48.98,51.95,50.56
2016-06-10,48.23,50.54,49.07
2016-06-13,47.06,50.35,48.88
2016-06-14,46.3,49.83,48.49
2016-06-15,46.09,48.97,48.01
2016-06-16,44.93,47.19,46.21
2016-06-17,44.48,49.17,47.98
2016-06-20,46.53,50.65,49.37
2016-06-21,46.4,50.62,48.85
2016-06-22,47.12,49.88,49.13
2016-06-23,46.48,50.91,50.11
2016-06-24,45.47,48.41,47.64
2016-06-27,45.11,47.16,46.33
2016-06-28,44.55,48.58,47.85
2016-06-29,45.73,50.61,49.88
2016-06-30,46.46,49.68,48.33
2016-07-01,45.19,50.35,48.99
2016-07-04,46.97,50.1,
2016-07-05,45.01,47.96,46.6
2016-07-06,,48.8,47.43
2016-07-07,44.99,46.4,45.14
2016-07-08,42.5,46.76,45.41
2016-07-11,41.97,46.25,44.76
2016-07-12,42.58,48.47,46.8
2016-07-13,43.41,46.26,44.75
2016-07-14,42.31,47.37,45.68
2016-07-15,42.59,47.61,45.95
2016-07-18,43.38,46.96,45.24
2016-07-19,42.21,46.66,44.65
2016-07-20,42.24,47.17,44.94
2016-07-21,42.73,46.2,44.75
2016-07-22,41.63,45.69,44.19
2016-07-25,41.38,44.72,43.13
2016-07-26,40.37,44.87,42.92
2016-07-27,40.59,43.47,41.92
2016-07-28,39.88,42.7,41.14
2016-07-29,38.64,42.46,41.6
2016-08-01,40.04,42.14,40.06
2016-08-02,38.85,41.8,39.51
2016-08-03,38.54,43.1,40.83
2016-08-04,39.99,44.29,41.93
2016-08-05,41.22,44.27,41.8
2016-08-08,41.59,45.39,43.02
2016-08-09,,44.98,42.77
2016-08-10,41.34,44.05,41.71
2016-08-11,40.49,46.04,43.49
2016-08-12,42.89,46.97,44.49
2016-08-15,44.43,48.35,45.74
2016-08-16,45.74,49.23,46.58
2016-08-17,45.85,49.85,46.79
2016-08-18,46.65,50.89,48.22
2016-08-19,47.26,50.88,48.52
2016-08-22,46.85,49.16,47.05
2016-08-23,45.38,49.96,48.1
2016-08-24,45.96,49.05,46.77
2016-08-25,45.59,49.67,47.33
2016-08-26,44.62,49.92,47.64
2016-08-29,45.82,49.26,46.98
2016-08-30,46.16,48.37,46.35
2016-08-31,44.79,47.04,44.7
2016-09-01,42.98,45.45,43.16
2016-09-02,41.71,46.83,44.44
2016-09-05,44.28,47.63,
2016-09-06,43.4,47.26,44.83
2016-09-07,43.67,47.98,45.5
2016-09-08,44.83,49.99,47.62
2016-09-09,45.45,48.01,45.88
2016-09-12,,48.32,46.29
2016-09-13,43.69,47.1,44.9
2016-09-14,43.57,45.85,43.58
2016-09-15,42.04,46.59,43.91
2016-09-16,42.34,45.77,43.03
2016-09-19,42.43,45.95,43.3
2016-09-20,41.99,45.88,43.44
2016-09-21,43.08,46.83,45.34
2016-09-22,43.58,47.65,46.32
2016-09-23,43.39,45.89,44.48
2016-09-26,42.15,47.35,45.93
2016-09-27,43.13,45.97,44.67
2016-09-28,42.37,48.69,47.05
2016-09-29,44.65,49.24,47.83
2016-09-30,45.11,49.06,48.24
2016-10-03,47.87,50.89,48.81
2016-10-04,47.83,50.87,48.69
2016-10-05,48.83,51.86,49.83
2016-10-06,48.77,52.51,50.44
2016-10-07,50.07,51.93,49.81
2016-10-10,48.9,53.14,51.35
2016-10-11,50.01,52.41,50.79
2016-10-12,50.03,51.81,50.18
2016-10-13,49.07,52.03,50.44
2016-10-14,49.88,51.95,50.35
2016-10-17,49.12,51.52,49.94
2016-10-18,49.23,51.68,50.29
2016-10-19,49.67,52.67,51.6
2016-10-20,49.66,51.38,50.43
2016-10-21,48.82,51.78,50.85
2016-10-24,49.48,51.46,50.52
2016-10-25,49.2,50.79,49.96
2016-10-26,47.91,49.98,49.18
2016-10-27,48.16,50.47,49.72
2016-10-28,48.4,49.71,48.7
2016-10-31,47.44,48.3,46.86
2016-11-01,45.42,48.14,46.67
2016-11-02,44.08,46.86,45.34
2016-11-03,43.52,46.35,44.66
2016-11-04,42.84,45.58,44.07
2016-11-07,42.69,46.15,44.89
2016-11-08,42.87,46.04,44.98
2016-11-09,42.57,46.36,45.27
2016-11-10,43.67,45.84,44.66
2016-11-11,43.7,44.75,43.41
2016-11-14,41.95,44.43,43.32
2016-11-15,41.97,46.95,45.81
2016-11-16,43.45,46.63,45.57
2016-11-17,43.47,46.49,45.42
2016-11-18,42.8,46.86,45.69
2016-11-21,44.47,48.9,47.49
2016-11-22,46.08,49.12,48.03
2016-11-23,46.07,48.95,47.96
2016-11-24,45.67,49,
2016-11-25,45.97,47.24,46.06
2016-11-28,43.76,48.24,47.08
2016-11-29,44.65,46.38,45.23
2016-11-30,44.12,50.47,49.44
2016-12-01,49.02,53.94,51.06
2016-12-02,50.39,54.46,51.68
2016-12-05,51.64,54.94,51.79
2016-12-06,51.65,53.93,50.93
2016-12-07,50.35,53,49.77
2016-12-08,50.3,53.89,50.84
2016-12-09,51.32,54.33,51.5
2016-12-12,54.18,55.69,52.83
2016-12-13,52.85,55.72,52.98
2016-12-14,52.69,53.9,51.04
2016-12-15,51.65,54.02,50.9
2016-12-16,51.69,55.21,51.9
2016-12-19,52.86,54.92,52.12
2016-12-20,52.09,55.35,52.23
2016-12-21,52.87,54.46,52.49
2016-12-22,51.78,55.05,52.95
2016-12-23,52.21,55.16,53.02
2016-12-27,52.72,56.09,53.9
2016-12-28,53.73,56.22,54.06
2016-12-29,53.9,56.14,53.77
2016-12-30,53.83,56.82,53.72
2017-01-03,54.65,55.47,52.33
2017-01-04,53.99,56.46,53.26
2017-01-05,54.28,56.89,53.76
2017-01-06,54.25,57.1,53.99
2017-01-09,54.35,54.94,51.96
2017-01-10,53.14,53.64,50.82
2017-01-11,52.22,55.1,52.25
2017-01-12,53.45,56.01,53.01
2017-01-13,54.3,55.45,52.37
2017-01-16,53.29,55.86,
2017-01-17,53.88,55.47,52.48
2017-01-18,53.84,53.92,51.08
2017-01-19,53.03,54.16,51.37
2017-01-20,52.91,55.49,52.42
2017-01-23,53.52,55.23,52.75
2017-01-24,53.98,55.44,53.18
2017-01-25,53.47,55.08,52.75
2017-01-26,53.86,56.24,53.78
2017-01-27,54.49,55.52,53.17
2017-01-30,,55.23,52.63
2017-01-31,53.23,55.7,52.81
2017-02-01,53.22,56.8,53.88
2017-02-02,54.94,56.56,53.54
2017-02-03,55.45,56.81,53.83
2017-02-06,55.31,55.72,53.01
2017-02-07,54.17,55.05,52.17
2017-02-08,53.35,55.12,52.34
2017-02-09,53.79,55.63,53
2017-02-10,53.78,56.7,53.86
2017-02-13,54.76,55.59,52.93
2017-02-14,54.14,55.97,53.2
2017-02-15,54,55.75,53.11
2017-02-16,53.95,55.65,53.36
2017-02-17,54.06,55.81,53.4
2017-02-20,54.46,56.18,
