date,fxt_send,fxt_receive,send,sell,exr
2020-12-31,1097.5,1076.5,1106.02,1067.98,1088
2020-12-30,1098,1077,1106.53,1068.47,1093.2
2020-12-29,1105.1,1083.9,1113.65,1075.35,1098.2
2020-12-28,1107.1,1085.9,1115.68,1077.32,1103.7
2020-12-24,1113.6,1092.4,1122.3,1083.7,1108.9
2020-12-23,1117.7,1096.3,1126.37,1087.63,1106.6
2020-12-22,1118.2,1096.8,1126.88,1088.12,1101.2
2020-12-21,1114.7,1093.3,1123.32,1084.68,1097.9
2020-12-18,1109.1,1087.9,1117.72,1079.28,1092.8
2020-12-17,1104.1,1082.9,1112.63,1074.37,1092.2
2020-12-16,1101,1080,1109.58,1071.42,1093.2
2020-12-15,1105.1,1083.9,1113.65,1075.35,1090.8
2020-12-14,1101.5,1080.5,1110.09,1071.91,1089.3
2020-12-11,1102.5,1081.5,1111.11,1072.89,1086.2
2020-12-10,1099.5,1078.5,1108.05,1069.95,1083.6
2020-12-09,1096,1075,1104.49,1066.51,1084.4
2020-12-08,1095.5,1074.5,1103.98,1066.02,1082.7
2020-12-07,1096.5,1075.5,1105,1067,1086.6
2020-12-04,1094.5,1073.5,1102.97,1065.03,1098.1
2020-12-03,1104.6,1083.4,1113.14,1074.86,1103.3
2020-12-02,1113.1,1091.9,1121.79,1083.21,1107.1
2020-12-01,1119.2,1097.8,1127.89,1089.11,1104.9
2020-11-30,1117.7,1096.3,1126.37,1087.63,1104.4
2020-11-27,1115.7,1094.3,1124.33,1085.67,1105.8
2020-11-26,1117.2,1095.8,1125.86,1087.14,1107.2
2020-11-25,1118.2,1096.8,1126.88,1088.12,1111.2
2020-11-24,1120.7,1099.3,1129.42,1090.58,1112.6
2020-11-23,1122.7,1101.3,1131.46,1092.54,1114.2
2020-11-20,1127.3,1105.7,1136.03,1096.97,1112.2
2020-11-19,1128.8,1107.2,1137.56,1098.44,1105.9
2020-11-18,1114.2,1092.8,1122.81,1084.19,1106.8
2020-11-17,1116.7,1095.3,1125.35,1086.65,1108
2020-11-16,1117.7,1096.3,1126.37,1087.63,1115.1
2020-11-13,1124.3,1102.7,1132.98,1094.02,1113.2
2020-11-12,1126.3,1104.7,1135.02,1095.98,1112.4
2020-11-11,1123.7,1102.3,1132.47,1093.53,1115.9
2020-11-10,1125.8,1104.2,1134.51,1095.49,1115.6
2020-11-09,1126.3,1104.7,1135.02,1095.98,1124.4
2020-11-06,1131.8,1110.2,1140.61,1101.39,1130.9
2020-11-05,1137.9,1116.1,1146.72,1107.28,1136.5
2020-11-04,1155,1133,1164.02,1123.98,1134.6
2020-11-03,1144.4,1122.6,1153.33,1113.67,1134.7
2020-11-02,1146.5,1124.5,1155.37,1115.63,1130.4
2020-10-30,1145.5,1123.5,1154.35,1114.65,1133.4
2020-10-29,1144.4,1122.6,1153.33,1113.67,1129.3
2020-10-28,1144.4,1122.6,1153.33,1113.67,1127.6
2020-10-27,1138.4,1116.6,1147.23,1107.77,1129.1
2020-10-26,1141.4,1119.6,1150.28,1110.72,1134.6
2020-10-23,1138.9,1117.1,1147.74,1108.26,1134.1
2020-10-22,1146,1124,1154.86,1115.14,1133.7
2020-10-21,1144.4,1122.6,1153.33,1113.67,1139.7
2020-10-20,1150.5,1128.5,1159.44,1119.56,1142.2
