year,origin,destin,id,dist,passen,fare,bmktshr
1997,"AKRON, OH","ATLANTA, GA",1,528,152,106,.83859998
1998,"AKRON, OH","ATLANTA, GA",1,528,265,106,.81330001
1999,"AKRON, OH","ATLANTA, GA",1,528,336,113,.82620001
2000,"AKRON, OH","ATLANTA, GA",1,528,298,123,.86120003
1997,"AKRON, OH","ORLANDO, FL",2,861,282,104,.57980001
1998,"AKRON, OH","ORLANDO, FL",2,861,178,105,.58169997
1999,"AKRON, OH","ORLANDO, FL",2,861,204,115,.73190004
2000,"AKRON, OH","ORLANDO, FL",2,861,190,129,.53860003
1997,"ALBANY, NY","ATLANTA, GA",3,852,241,207,.81800002
1998,"ALBANY, NY","ATLANTA, GA",3,852,253,188,.81720001
1999,"ALBANY, NY","ATLANTA, GA",3,852,244,229,.79980004
2000,"ALBANY, NY","ATLANTA, GA",3,852,244,247,.70969999
1997,"ALBANY, NY","CHICAGO, IL",4,724,233,243,.46040002
1998,"ALBANY, NY","CHICAGO, IL",4,724,248,226,.4614
1999,"ALBANY, NY","CHICAGO, IL",4,724,224,229,.43340001
2000,"ALBANY, NY","CHICAGO, IL",4,724,339,176,.3716
1997,"ALBANY, NY","ORLANDO, FL",5,1073,396,119,.4571
1998,"ALBANY, NY","ORLANDO, FL",5,1073,529,105,.5632
1999,"ALBANY, NY","ORLANDO, FL",5,1073,494,121,.50080001
2000,"ALBANY, NY","ORLANDO, FL",5,1073,710,109,.51969999
1997,"ALBANY, NY","WASHINGTON, DC",6,318,237,181,.91000003
1998,"ALBANY, NY","WASHINGTON, DC",6,318,213,197,.90680003
1999,"ALBANY, NY","WASHINGTON, DC",6,318,209,190,.92860001
2000,"ALBANY, NY","WASHINGTON, DC",6,318,163,171,.96930003
1997,"ALBUQUERQUE, NM","ATLANTA, GA",7,1270,168,200,.66949999
1998,"ALBUQUERQUE, NM","ATLANTA, GA",7,1270,185,218,.70819998
1999,"ALBUQUERQUE, NM","ATLANTA, GA",7,1270,178,229,.67140001
2000,"ALBUQUERQUE, NM","ATLANTA, GA",7,1270,197,220,.62310004
1997,"ALBUQUERQUE, NM","AUSTIN, TX",8,614,173,134,.59790003
1998,"ALBUQUERQUE, NM","AUSTIN, TX",8,614,157,153,.63499999
1999,"ALBUQUERQUE, NM","AUSTIN, TX",8,614,176,145,.55990005
2000,"ALBUQUERQUE, NM","AUSTIN, TX",8,614,192,161,.64199996
1997,"ALBUQUERQUE, NM","BALTIMORE, MD",9,1673,200,149,.2013
1998,"ALBUQUERQUE, NM","BALTIMORE, MD",9,1673,194,155,.20639999
1999,"ALBUQUERQUE, NM","BALTIMORE, MD",9,1673,214,162,.21969999
2000,"ALBUQUERQUE, NM","BALTIMORE, MD",9,1673,310,152,.28470001
1997,"ALBUQUERQUE, NM","BOSTON, MA",10,1976,171,271,.24430001
1998,"ALBUQUERQUE, NM","BOSTON, MA",10,1976,155,242,.2568
1999,"ALBUQUERQUE, NM","BOSTON, MA",10,1976,173,221,.2845
2000,"ALBUQUERQUE, NM","BOSTON, MA",10,1976,187,214,.3001
1997,"ALBUQUERQUE, NM","CHICAGO, IL",11,1118,364,181,.45220003
1998,"ALBUQUERQUE, NM","CHICAGO, IL",11,1118,374,182,.48820001
1999,"ALBUQUERQUE, NM","CHICAGO, IL",11,1118,368,183,.4113
2000,"ALBUQUERQUE, NM","CHICAGO, IL",11,1118,383,188,.48470002
1997,"ALBUQUERQUE, NM","DALLAS, TX",12,580,1244,97,.67290002
1998,"ALBUQUERQUE, NM","DALLAS, TX",12,580,962,109,.65300006
1999,"ALBUQUERQUE, NM","DALLAS, TX",12,580,980,110,.66530001
2000,"ALBUQUERQUE, NM","DALLAS, TX",12,580,954,117,.68830001
1997,"ALBUQUERQUE, NM","DENVER, CO",13,349,400,136,.82529998
1998,"ALBUQUERQUE, NM","DENVER, CO",13,349,353,186,.79030001
1999,"ALBUQUERQUE, NM","DENVER, CO",13,349,349,184,.7999
2000,"ALBUQUERQUE, NM","DENVER, CO",13,349,319,198,.71919996
1997,"ALBUQUERQUE, NM","EL PASO, TX",14,223,278,68,.792
1998,"ALBUQUERQUE, NM","EL PASO, TX",14,223,255,71,.77870005
1999,"ALBUQUERQUE, NM","EL PASO, TX",14,223,255,72,.8664
2000,"ALBUQUERQUE, NM","EL PASO, TX",14,223,241,75,.84650004
1997,"ALBUQUERQUE, NM","HOUSTON, TX",15,745,437,132,.49419999
1998,"ALBUQUERQUE, NM","HOUSTON, TX",15,745,385,148,.4745
1999,"ALBUQUERQUE, NM","HOUSTON, TX",15,745,440,137,.49520001
2000,"ALBUQUERQUE, NM","HOUSTON, TX",15,745,443,151,.49310002
1997,"ALBUQUERQUE, NM","KANSAS CITY, MO",16,719,197,127,.58130002
1998,"ALBUQUERQUE, NM","KANSAS CITY, MO",16,719,184,146,.66980004
1999,"ALBUQUERQUE, NM","KANSAS CITY, MO",16,719,187,135,.7471
2000,"ALBUQUERQUE, NM","KANSAS CITY, MO",16,719,178,149,.80610001
1997,"ALBUQUERQUE, NM","LAS VEGAS, NV",17,487,761,83,.71169996
1998,"ALBUQUERQUE, NM","LAS VEGAS, NV",17,487,602,110,.9228
1999,"ALBUQUERQUE, NM","LAS VEGAS, NV",17,487,597,111,.92339998
2000,"ALBUQUERQUE, NM","LAS VEGAS, NV",17,487,678,105,.92790002
1997,"ALBUQUERQUE, NM","LOS ANGELES, CA",18,677,935,103,.815
1998,"ALBUQUERQUE, NM","LOS ANGELES, CA",18,677,886,112,.80470002
1999,"ALBUQUERQUE, NM","LOS ANGELES, CA",18,677,842,120,.87279999
2000,"ALBUQUERQUE, NM","LOS ANGELES, CA",18,677,806,131,.87540001
1997,"ALBUQUERQUE, NM","MINNEAPOLIS, MN",19,982,189,190,.68410003
1998,"ALBUQUERQUE, NM","MINNEAPOLIS, MN",19,982,183,186,.64999998
1999,"ALBUQUERQUE, NM","MINNEAPOLIS, MN",19,982,182,202,.56950003
2000,"ALBUQUERQUE, NM","MINNEAPOLIS, MN",19,982,181,193,.65750003
1997,"ALBUQUERQUE, NM","NEW YORK, NY",20,1817,441,224,.2793
1998,"ALBUQUERQUE, NM","NEW YORK, NY",20,1817,363,240,.24700001
1999,"ALBUQUERQUE, NM","NEW YORK, NY",20,1817,317,265,.23450001
2000,"ALBUQUERQUE, NM","NEW YORK, NY",20,1817,355,250,.29479998
1997,"ALBUQUERQUE, NM","OAKLAND, CA",21,889,207,128,.66420001
1998,"ALBUQUERQUE, NM","OAKLAND, CA",21,889,300,143,.8355
1999,"ALBUQUERQUE, NM","OAKLAND, CA",21,889,379,145,.88019997
2000,"ALBUQUERQUE, NM","OAKLAND, CA",21,889,372,154,.875
1997,"ALBUQUERQUE, NM","ONTARIO, CA",22,632,194,108,.76249999
1998,"ALBUQUERQUE, NM","ONTARIO, CA",22,632,201,113,.68559998
1999,"ALBUQUERQUE, NM","ONTARIO, CA",22,632,194,124,.65179998
2000,"ALBUQUERQUE, NM","ONTARIO, CA",22,632,178,131,.65830004
1997,"ALBUQUERQUE, NM","ORLANDO, FL",23,1554,200,134,.55199999
1998,"ALBUQUERQUE, NM","ORLANDO, FL",23,1554,198,164,.49919999
1999,"ALBUQUERQUE, NM","ORLANDO, FL",23,1554,194,158,.47229999
2000,"ALBUQUERQUE, NM","ORLANDO, FL",23,1554,197,169,.56330001
1997,"ALBUQUERQUE, NM","PHOENIX, AZ",24,328,1492,66,.81629997
1998,"ALBUQUERQUE, NM","PHOENIX, AZ",24,328,1362,65,.83349997
1999,"ALBUQUERQUE, NM","PHOENIX, AZ",24,328,1449,64,.82769996
