personid,income,female,education,experience,migrant,homeowner,black,hispanic,asian,unemployed,married,age,part_time
1,28606,1,9,10,0,1,0,0,0,0,0,26,0
2,21107,0,7,19,0,1,1,0,0,0,1,40,1
3,6624,0,8,11,1,0,0,1,0,1,0,27,0
4,32884,0,9,22,0,1,0,0,0,0,1,42,0
5,30461,0,7,12,1,1,0,1,0,0,0,27,0
6,37162,0,7,25,0,0,0,1,0,0,1,47,0
7,35229,1,16,8,0,0,0,0,0,0,0,31,0
8,16065,1,7,29,0,1,1,0,0,0,1,50,1
9,13545,0,7,10,0,0,0,1,0,0,1,28,1
10,29161,1,9,13,0,1,0,0,0,0,1,35,0
11,46188,0,7,32,0,1,1,0,0,0,0,50,0
12,33892,1,7,24,1,1,0,1,0,0,1,48,0
13,12393,1,9,38,0,0,1,0,0,0,1,57,1
14,19241,1,9,37,0,0,0,1,0,1,1,59,0
15,11766,0,8,17,0,0,1,0,0,0,0,33,1
16,28854,1,9,15,0,1,1,0,0,0,1,36,0
17,31984,1,15,6,0,1,1,0,0,0,0,29,0
18,36606,0,9,32,0,1,0,0,0,0,1,49,0
19,37726,0,17,5,0,0,0,0,1,0,0,30,0
20,14630,0,9,11,0,1,0,0,0,0,0,27,1
21,40516,0,15,28,0,1,0,0,0,0,0,48,0
22,38150,0,9,37,0,1,0,0,0,0,1,57,0
23,29993,0,12,12,0,0,0,0,0,0,0,29,0
24,30809,1,10,20,0,0,0,0,0,0,0,41,0
25,51459,0,17,28,0,1,0,0,0,0,1,54,0
26,36003,1,9,35,0,1,0,0,0,0,1,56,0
27,29913,1,10,17,0,0,0,0,0,0,1,43,0
28,520767,0,19,15,0,1,0,1,0,0,0,43,0
29,29147,1,10,14,0,1,0,0,0,0,1,37,0
30,53460,1,18,34,0,1,0,0,1,0,1,58,0
31,33788,1,10,29,0,0,0,0,0,0,1,58,0
32,35985,1,9,35,0,1,0,0,0,0,1,60,0
33,24285,0,9,10,0,0,0,1,0,0,1,30,1
34,24733,0,12,19,0,0,0,0,0,0,1,38,1
35,5610,0,14,5,0,0,1,0,0,1,0,25,0
36,19716,1,7,35,0,0,1,0,0,1,1,60,0
37,9530,1,10,18,0,0,0,0,0,1,1,43,0
38,15998,1,7,21,1,0,0,1,0,1,0,37,0
39,15415,1,13,12,0,1,0,0,0,0,1,32,1
40,37961,0,16,14,0,1,0,0,0,0,0,40,0
41,11537,1,8,35,0,0,0,1,0,1,1,53,0
42,30619,0,13,17,1,0,0,1,0,0,1,38,0
43,30694,1,7,10,0,1,1,0,0,0,1,25,0
