date,title,date_open,revenue,numberofaudience,numberofscreen,numberofshow,nation,distributor,rating,genre,director
2004-01-01,실미도,2003-12-24,335967000,52617,51,309,한국,(주)시네마서비스,15세관람가,전쟁,강우석
2004-01-01,반지의 제왕 : 왕의 귀환,2003-12-17,181601500,29151,43,198,미국,씨제이엔터테인먼트(주),12세관람가,"판타지,어드벤처",피터 잭슨
2004-01-01,동해물과 백두산이,2003-12-31,126571500,19433,21,148,한국,쇼박스㈜미디어플렉스,15세관람가,코미디,안진우
2004-01-01,러브 액츄얼리,2003-12-05,38110500,5662,10,53,미국,"UIP코리아,(주)팝엔터테인먼트","15세관람가,15세이상관람가","멜로/로맨스,드라마,코미디",리차드 커티스
2004-01-01,더 캣,2003-12-31,28511500,4570,11,60,미국,씨제이엔터테인먼트(주),전체관람가,"판타지,어드벤처",보 웰치
2004-01-01,올드보이,2003-11-21,10656000,1620,4,16,한국,"쇼이스트(주),씨제이이앤엠(주)",18세관람가,스릴러,박찬욱
2004-01-01,해피에로크리스마스,2003-12-17,5587000,784,6,19,한국,(주)튜브엔터테인먼트,15세관람가,드라마,이건동
2004-01-02,실미도,2003-12-24,299345000,48100,50,289,한국,(주)시네마서비스,15세관람가,전쟁,강우석
2004-01-02,반지의 제왕 : 왕의 귀환,2003-12-17,186704500,30680,42,190,미국,씨제이엔터테인먼트(주),12세관람가,"판타지,어드벤처",피터 잭슨
2004-01-02,동해물과 백두산이,2003-12-31,92659000,15208,20,147,한국,쇼박스㈜미디어플렉스,15세관람가,코미디,안진우
2004-01-02,러브 액츄얼리,2003-12-05,31687500,5035,11,53,미국,"UIP코리아,(주)팝엔터테인먼트","15세관람가,15세이상관람가","멜로/로맨스,드라마,코미디",리차드 커티스
2004-01-02,더 캣,2003-12-31,19145000,3260,11,61,미국,씨제이엔터테인먼트(주),전체관람가,"판타지,어드벤처",보 웰치
2004-01-02,올드보이,2003-11-21,8751500,1410,4,15,한국,"쇼이스트(주),씨제이이앤엠(주)",18세관람가,스릴러,박찬욱
2004-01-02,해피에로크리스마스,2003-12-17,3984000,664,6,22,한국,(주)튜브엔터테인먼트,15세관람가,드라마,이건동
2004-01-03,실미도,2003-12-24,363085500,56907,50,298,한국,(주)시네마서비스,15세관람가,전쟁,강우석
2004-01-03,반지의 제왕 : 왕의 귀환,2003-12-17,226212000,36323,44,196,미국,씨제이엔터테인먼트(주),12세관람가,"판타지,어드벤처",피터 잭슨
2004-01-03,동해물과 백두산이,2003-12-31,122609500,18961,20,143,한국,쇼박스㈜미디어플렉스,15세관람가,코미디,안진우
2004-01-03,러브 액츄얼리,2003-12-05,39138500,5845,10,53,미국,"UIP코리아,(주)팝엔터테인먼트","15세관람가,15세이상관람가","멜로/로맨스,드라마,코미디",리차드 커티스
2004-01-03,더 캣,2003-12-31,29074000,4750,11,59,미국,씨제이엔터테인먼트(주),전체관람가,"판타지,어드벤처",보 웰치
2004-01-03,올드보이,2003-11-21,11253500,1717,4,15,한국,"쇼이스트(주),씨제이이앤엠(주)",18세관람가,스릴러,박찬욱
2004-01-03,해피에로크리스마스,2003-12-17,5146500,731,6,24,한국,(주)튜브엔터테인먼트,15세관람가,드라마,이건동
2004-01-04,실미도,2003-12-24,357439000,56194,50,295,한국,(주)시네마서비스,15세관람가,전쟁,강우석
2004-01-04,반지의 제왕 : 왕의 귀환,2003-12-17,210827500,33959,43,192,미국,씨제이엔터테인먼트(주),12세관람가,"판타지,어드벤처",피터 잭슨
2004-01-04,동해물과 백두산이,2003-12-31,116610500,17994,20,144,한국,쇼박스㈜미디어플렉스,15세관람가,코미디,안진우
2004-01-04,러브 액츄얼리,2003-12-05,36842500,5489,10,52,미국,"UIP코리아,(주)팝엔터테인먼트","15세관람가,15세이상관람가","멜로/로맨스,드라마,코미디",리차드 커티스
2004-01-04,더 캣,2003-12-31,27212000,4432,11,61,미국,씨제이엔터테인먼트(주),전체관람가,"판타지,어드벤처",보 웰치
