Date,state,LaborForce,UnemploymentRate
2000-01-01,Alabama,2142945,4.7
2000-01-01,Alaska,319059,6.3
2000-01-01,Arizona,2499980,4.1
2000-01-01,Arkansas,1264619,4.4
2000-01-01,California,16680246,5
2000-01-01,Colorado,2354671,2.8
2000-01-01,Connecticut,1768421,2.8
2000-01-01,Delaware,405052,3.5
2000-01-01,Florida,7766891,3.7
2000-01-01,Georgia,4198288,3.7
2000-01-01,Hawaii,606200,4.7
2000-01-01,Idaho,654084,4.6
2000-01-01,Illinois,6516094,4.2
2000-01-01,Indiana,3140872,3.2
2000-01-01,Iowa,1590191,2.4
2000-01-01,Kansas,1419915,3.4
2000-01-01,Kentucky,1968042,4.2
2000-01-01,Louisiana,2045788,5.1
2000-01-01,Maine,681087,3.6
2000-01-01,Maryland,2782556,3.4
2000-01-01,Massachusetts,3343974,3
2000-01-01,Michigan,5164918,3.3
2000-01-01,Minnesota,2789080,3
2000-01-01,Mississippi,1316659,5.4
2000-01-01,Missouri,2934571,3.1
2000-01-01,Montana,467085,5.1
2000-01-01,Nebraska,942509,2.8
2000-01-01,Nevada,1043367,3.9
2000-01-01,New Hampshire,681930,2.7
2000-01-01,New Mexico,839640,5.1
2000-01-01,New York,9148772,4.7
2000-01-01,New jersey,4292278,3.8
2000-01-01,North Carolina,4106947,3.3
2000-01-01,North Dakota,342007,3.1
2000-01-01,Ohio,5791423,4.1
2000-01-01,Oklahoma,1661302,3.2
2000-01-01,Oregon,1812342,5
2000-01-01,Pennsylvania,6086807,4.1
2000-01-01,Rhode island,542387,4
2000-01-01,South Carolina,1995253,4
2000-01-01,South Dakota,409296,2.4
2000-01-01,Tennessee,2852337,3.7
2000-01-01,Texas,10352120,4.6
2000-01-01,Utah,1128581,3.1
2000-01-01,Vermont,329193,2.7
2000-01-01,Virginia,3587812,2.6
2000-01-01,Washington,3076825,4.9
2000-01-01,West Virginia,808244,5.8
2000-01-01,Wisconsin,2960235,3.2
2000-01-01,Wyoming,265024,4.1
2000-02-01,Alabama,2142351,4.7
2000-02-01,Alaska,319147,6.3
2000-02-01,Arizona,2502752,4.1
2000-02-01,Arkansas,1265218,4.3
2000-02-01,California,16732795,5
2000-02-01,Colorado,2356780,2.8
2000-02-01,Connecticut,1769105,2.7
2000-02-01,Delaware,406611,3.6
2000-02-01,Florida,7789735,3.7
2000-02-01,Georgia,4205995,3.6
2000-02-01,Hawaii,606306,4.6
2000-02-01,Idaho,655120,4.6
2000-02-01,Illinois,6518962,4.2
2000-02-01,Indiana,3142328,3.3
2000-02-01,Iowa,1589626,2.4
2000-02-01,Kansas,1418845,3.4
2000-02-01,Kentucky,1968722,4.1
2000-02-01,Louisiana,2046066,5.1
2000-02-01,Maine,681766,3.5
2000-02-01,Maryland,2787422,3.4
2000-02-01,Massachusetts,3340208,2.9
2000-02-01,Michigan,5168728,3.2
2000-02-01,Minnesota,2794851,3
2000-02-01,Mississippi,1320936,5.5
2000-02-01,Missouri,2941758,3.2
2000-02-01,Montana,467691,5
2000-02-01,Nebraska,943486,2.8
2000-02-01,Nevada,1047435,3.9
2000-02-01,New Hampshire,683233,2.7
2000-02-01,New Mexico,840470,5
2000-02-01,New York,9150933,4.7
2000-02-01,New jersey,4292831,3.7
2000-02-01,North Carolina,4113878,3.3
2000-02-01,North Dakota,341842,3
2000-02-01,Ohio,5793274,4.1
2000-02-01,Oklahoma,1661119,3.1
2000-02-01,Oregon,1815669,5
2000-02-01,Pennsylvania,6090752,4
2000-02-01,Rhode island,542778,4
2000-02-01,South Carolina,1996183,3.9
2000-02-01,South Dakota,409464,2.4
2000-02-01,Tennessee,2852381,3.7
2000-02-01,Texas,10363975,4.6
2000-02-01,Utah,1130836,3.1
2000-02-01,Vermont,329551,2.6
2000-02-01,Virginia,3594384,2.5
2000-02-01,Washington,3075359,4.9
