,Date,state,LaborForce,UnemploymentRate
0,2000-01-01,Alabama,2142945.0,4.7
1,2000-01-01,Alaska,319059.0,6.3
2,2000-01-01,Arizona,2499980.0,4.1
3,2000-01-01,Arkansas,1264619.0,4.4
4,2000-01-01,California,16680246.0,5.0
5,2000-01-01,Colorado,2354671.0,2.8
6,2000-01-01,Connecticut,1768421.0,2.8
7,2000-01-01,Delaware,405052.0,3.5
8,2000-01-01,Florida,7766891.0,3.7
9,2000-01-01,Georgia,4198288.0,3.7
10,2000-01-01,Hawaii,606200.0,4.7
11,2000-01-01,Idaho,654084.0,4.6
12,2000-01-01,Illinois,6516094.0,4.2
13,2000-01-01,Indiana,3140872.0,3.2
14,2000-01-01,Iowa,1590191.0,2.4
15,2000-01-01,Kansas,1419915.0,3.4
16,2000-01-01,Kentucky,1968042.0,4.2
17,2000-01-01,Louisiana,2045788.0,5.1
18,2000-01-01,Maine,681087.0,3.6
19,2000-01-01,Maryland,2782556.0,3.4
20,2000-01-01,Massachusetts,3343974.0,3.0
21,2000-01-01,Michigan,5164918.0,3.3
22,2000-01-01,Minnesota,2789080.0,3.0
23,2000-01-01,Mississippi,1316659.0,5.4
24,2000-01-01,Missouri,2934571.0,3.1
25,2000-01-01,Montana,467085.0,5.1
26,2000-01-01,Nebraska,942509.0,2.8
27,2000-01-01,Nevada,1043367.0,3.9
28,2000-01-01,New Hampshire,681930.0,2.7
29,2000-01-01,New Mexico,839640.0,5.1
30,2000-01-01,New York,9148772.0,4.7
31,2000-01-01,New jersey,4292278.0,3.8
32,2000-01-01,North Carolina,4106947.0,3.3
33,2000-01-01,North Dakota,342007.0,3.1
34,2000-01-01,Ohio,5791423.0,4.1
35,2000-01-01,Oklahoma,1661302.0,3.2
36,2000-01-01,Oregon,1812342.0,5.0
37,2000-01-01,Pennsylvania,6086807.0,4.1
38,2000-01-01,Rhode island,542387.0,4.0
39,2000-01-01,South Carolina,1995253.0,4.0
40,2000-01-01,South Dakota,409296.0,2.4
41,2000-01-01,Tennessee,2852337.0,3.7
42,2000-01-01,Texas,10352120.0,4.6
43,2000-01-01,Utah,1128581.0,3.1
44,2000-01-01,Vermont,329193.0,2.7
45,2000-01-01,Virginia,3587812.0,2.6
46,2000-01-01,Washington,3076825.0,4.9
47,2000-01-01,West Virginia,808244.0,5.8
48,2000-01-01,Wisconsin,2960235.0,3.2
49,2000-01-01,Wyoming,265024.0,4.1
50,2000-02-01,Alabama,2142351.0,4.7
51,2000-02-01,Alaska,319147.0,6.3
52,2000-02-01,Arizona,2502752.0,4.1
53,2000-02-01,Arkansas,1265218.0,4.3
54,2000-02-01,California,16732795.0,5.0
55,2000-02-01,Colorado,2356780.0,2.8
56,2000-02-01,Connecticut,1769105.0,2.7
57,2000-02-01,Delaware,406611.0,3.6
58,2000-02-01,Florida,7789735.0,3.7
59,2000-02-01,Georgia,4205995.0,3.6
60,2000-02-01,Hawaii,606306.0,4.6
61,2000-02-01,Idaho,655120.0,4.6
62,2000-02-01,Illinois,6518962.0,4.2
63,2000-02-01,Indiana,3142328.0,3.3
64,2000-02-01,Iowa,1589626.0,2.4
65,2000-02-01,Kansas,1418845.0,3.4
66,2000-02-01,Kentucky,1968722.0,4.1
67,2000-02-01,Louisiana,2046066.0,5.1
68,2000-02-01,Maine,681766.0,3.5
69,2000-02-01,Maryland,2787422.0,3.4
70,2000-02-01,Massachusetts,3340208.0,2.9
71,2000-02-01,Michigan,5168728.0,3.2
72,2000-02-01,Minnesota,2794851.0,3.0
73,2000-02-01,Mississippi,1320936.0,5.5
74,2000-02-01,Missouri,2941758.0,3.2
75,2000-02-01,Montana,467691.0,5.0
76,2000-02-01,Nebraska,943486.0,2.8
77,2000-02-01,Nevada,1047435.0,3.9
78,2000-02-01,New Hampshire,683233.0,2.7
79,2000-02-01,New Mexico,840470.0,5.0
80,2000-02-01,New York,9150933.0,4.7
81,2000-02-01,New jersey,4292831.0,3.7
82,2000-02-01,North Carolina,4113878.0,3.3
83,2000-02-01,North Dakota,341842.0,3.0
84,2000-02-01,Ohio,5793274.0,4.1
85,2000-02-01,Oklahoma,1661119.0,3.1
86,2000-02-01,Oregon,1815669.0,5.0
87,2000-02-01,Pennsylvania,6090752.0,4.0
88,2000-02-01,Rhode island,542778.0,4.0
89,2000-02-01,South Carolina,1996183.0,3.9
90,2000-02-01,South Dakota,409464.0,2.4
91,2000-02-01,Tennessee,2852381.0,3.7
92,2000-02-01,Texas,10363975.0,4.6
93,2000-02-01,Utah,1130836.0,3.1
94,2000-02-01,Vermont,329551.0,2.6
95,2000-02-01,Virginia,3594384.0,2.5
96,2000-02-01,Washington,3075359.0,4.9
97,2000-02-01,West Virginia,808465.0,5.6
98,2000-02-01,Wisconsin,2963260.0,3.2
99,2000-02-01,Wyoming,265306.0,3.9
100,2000-03-01,Alabama,2140697.0,4.6
101,2000-03-01,Alaska,319291.0,6.3
102,2000-03-01,Arizona,2503992.0,4.0
103,2000-03-01,Arkansas,1264912.0,4.3
104,2000-03-01,California,16778343.0,5.0
105,2000-03-01,Colorado,2357991.0,2.7
106,2000-03-01,Connecticut,1768741.0,2.6
107,2000-03-01,Delaware,408297.0,3.6
108,2000-03-01,Florida,7807619.0,3.7
109,2000-03-01,Georgia,4213192.0,3.6
110,2000-03-01,Hawaii,606226.0,4.5
111,2000-03-01,Idaho,656194.0,4.6
112,2000-03-01,Illinois,6517873.0,4.3
113,2000-03-01,Indiana,3141711.0,3.3
114,2000-03-01,Iowa,1588624.0,2.4
115,2000-03-01,Kansas,1417157.0,3.5
116,2000-03-01,Kentucky,1968494.0,4.1
117,2000-03-01,Louisiana,2044981.0,5.1
118,2000-03-01,Maine,681964.0,3.5
119,2000-03-01,Maryland,2791844.0,3.5
120,2000-03-01,Massachusetts,3335178.0,2.8
121,2000-03-01,Michigan,5170682.0,3.2
122,2000-03-01,Minnesota,2799169.0,3.0
123,2000-03-01,Mississippi,1324176.0,5.5
124,2000-03-01,Missouri,2946114.0,3.3
125,2000-03-01,Montana,468063.0,5.0
126,2000-03-01,Nebraska,944246.0,2.8
127,2000-03-01,Nevada,1051389.0,4.0
128,2000-03-01,New Hampshire,684572.0,2.7
129,2000-03-01,New Mexico,841358.0,4.9
130,2000-03-01,New York,9149949.0,4.6
131,2000-03-01,New jersey,4291454.0,3.6
132,2000-03-01,North Carolina,4120718.0,3.4
133,2000-03-01,North Dakota,341752.0,3.0
134,2000-03-01,Ohio,5793337.0,4.0
135,2000-03-01,Oklahoma,1660590.0,3.1
136,2000-03-01,Oregon,1818372.0,5.0
137,2000-03-01,Pennsylvania,6094109.0,4.0
138,2000-03-01,Rhode island,543164.0,4.0
139,2000-03-01,South Carolina,1997123.0,3.8
140,2000-03-01,South Dakota,409423.0,2.4
141,2000-03-01,Tennessee,2851026.0,3.8
142,2000-03-01,Texas,10368180.0,4.5
143,2000-03-01,Utah,1133369.0,3.1
144,2000-03-01,Vermont,329949.0,2.6
145,2000-03-01,Virginia,3597995.0,2.4
146,2000-03-01,Washington,3073238.0,5.0
147,2000-03-01,West Virginia,808690.0,5.5
148,2000-03-01,Wisconsin,2966094.0,3.3
149,2000-03-01,Wyoming,265592.0,3.9
150,2000-04-01,Alabama,2138178.0,4.6
151,2000-04-01,Alaska,319477.0,6.3
152,2000-04-01,Arizona,2503989.0,4.0
153,2000-04-01,Arkansas,1263822.0,4.3
154,2000-04-01,California,16815943.0,5.1
155,2000-04-01,Colorado,2358321.0,2.7
156,2000-04-01,Connecticut,1767722.0,2.5
157,2000-04-01,Delaware,410055.0,3.7
158,2000-04-01,Florida,7821650.0,3.7
159,2000-04-01,Georgia,4219262.0,3.7
160,2000-04-01,Hawaii,605946.0,4.4
161,2000-04-01,Idaho,657235.0,4.6
162,2000-04-01,Illinois,6513433.0,4.3
163,2000-04-01,Indiana,3139239.0,3.3
164,2000-04-01,Iowa,1587319.0,2.5
165,2000-04-01,Kansas,1414679.0,3.5
166,2000-04-01,Kentucky,1967218.0,4.1
167,2000-04-01,Louisiana,2042237.0,5.1
168,2000-04-01,Maine,681675.0,3.4
169,2000-04-01,Maryland,2795579.0,3.5
170,2000-04-01,Massachusetts,3329579.0,2.7
171,2000-04-01,Michigan,5170777.0,3.3
172,2000-04-01,Minnesota,2802390.0,3.0
173,2000-04-01,Mississippi,1325943.0,5.6
174,2000-04-01,Missouri,2947684.0,3.3
175,2000-04-01,Montana,468226.0,5.0
176,2000-04-01,Nebraska,944725.0,2.8
177,2000-04-01,Nevada,1055413.0,4.0
178,2000-04-01,New Hampshire,685841.0,2.7
179,2000-04-01,New Mexico,842276.0,4.9
180,2000-04-01,New York,9145145.0,4.6
181,2000-04-01,New jersey,4288575.0,3.6
182,2000-04-01,North Carolina,4127403.0,3.4
183,2000-04-01,North Dakota,341804.0,2.9
184,2000-04-01,Ohio,5792129.0,4.0
185,2000-04-01,Oklahoma,1659997.0,3.1
186,2000-04-01,Oregon,1820366.0,5.0
187,2000-04-01,Pennsylvania,6096691.0,4.0
188,2000-04-01,Rhode island,543522.0,4.0
189,2000-04-01,South Carolina,1997774.0,3.7
190,2000-04-01,South Dakota,409173.0,2.4
191,2000-04-01,Tennessee,2848175.0,3.8
192,2000-04-01,Texas,10366277.0,4.4
193,2000-04-01,Utah,1135920.0,3.1
194,2000-04-01,Vermont,330367.0,2.7
195,2000-04-01,Virginia,3598633.0,2.4
196,2000-04-01,Washington,3069974.0,5.0
197,2000-04-01,West Virginia,808769.0,5.4
198,2000-04-01,Wisconsin,2968701.0,3.4
199,2000-04-01,Wyoming,265906.0,3.8
200,2000-05-01,Alabama,2135307.0,4.5
201,2000-05-01,Alaska,319659.0,6.3
202,2000-05-01,Arizona,2503461.0,4.0
203,2000-05-01,Arkansas,1262136.0,4.2
204,2000-05-01,California,16844925.0,5.1
205,2000-05-01,Colorado,2357978.0,2.7
206,2000-05-01,Connecticut,1766345.0,2.4
207,2000-05-01,Delaware,411779.0,3.7
208,2000-05-01,Florida,7833369.0,3.7
209,2000-05-01,Georgia,4223636.0,3.7
210,2000-05-01,Hawaii,605553.0,4.3
211,2000-05-01,Idaho,658198.0,4.6
212,2000-05-01,Illinois,6506021.0,4.3
213,2000-05-01,Indiana,3134814.0,3.3
214,2000-05-01,Iowa,1586186.0,2.5
215,2000-05-01,Kansas,1411553.0,3.5
216,2000-05-01,Kentucky,1965116.0,4.1
217,2000-05-01,Louisiana,2037977.0,5.1
218,2000-05-01,Maine,680794.0,3.3
219,2000-05-01,Maryland,2798681.0,3.6
220,2000-05-01,Massachusetts,3324450.0,2.6
221,2000-05-01,Michigan,5168601.0,3.5
222,2000-05-01,Minnesota,2805323.0,3.0
223,2000-05-01,Mississippi,1325942.0,5.6
224,2000-05-01,Missouri,2948096.0,3.3
225,2000-05-01,Montana,468200.0,5.0
226,2000-05-01,Nebraska,944948.0,2.8
227,2000-05-01,Nevada,1059666.0,4.0
228,2000-05-01,New Hampshire,686928.0,2.7
229,2000-05-01,New Mexico,843255.0,4.9
230,2000-05-01,New York,9136838.0,4.6
